T=10, Nlin=20, Ndeme=3
noisemode=2
nonDB
2500,  acc (%)= 8, lnLH=1903.44
5000,  acc (%)= 7, lnLH=1904.72
7500,  acc (%)= 7, lnLH=1905.44
10000,  acc (%)= 7, lnLH=1906.89
12500,  acc (%)= 7, lnLH=1904.73
15000,  acc (%)= 7, lnLH=1905.15
17500,  acc (%)= 8, lnLH=1906.89
20000,  acc (%)= 7, lnLH=1897.47
22500,  acc (%)= 6, lnLH=1908.19
25000,  acc (%)= 7, lnLH=1906
27500,  acc (%)= 7, lnLH=1902.48
30000,  acc (%)= 6, lnLH=1908.15
32500,  acc (%)= 7, lnLH=1910.79
35000,  acc (%)= 7, lnLH=1908.71
37500,  acc (%)= 6, lnLH=1908.55
40000,  acc (%)= 6, lnLH=1904.17
42500,  acc (%)= 6, lnLH=1900.81
45000,  acc (%)= 7, lnLH=1905.26
47500,  acc (%)= 6, lnLH=1908.05
Run time: 18
